"Shape","Weight","Color","Clarity","Measurements","Cut Grade","Lab","Price","Depth %","Table %","Girdle Min","Girdle Max","Girdle Condition","Culet Size","Polish","Symmetry","Fluorescence Intensity","Fluorescence Color","Crown Height","Crown Angle","Pavilion Depth","Pavilion Angle","Laser Inscription","Comments","Certificate #","Certificate Image","Vendor Stock Number","Pair Vendor Stock Number","Is Matched Pair Separable","Fancy Color","Fancy Color Intensity","Fancy Color Overtone","Status","RapList","Rap%"
"BR","0.49","E","SI1","5.14 x 5.13 x 3.11","EX","GIA","1430.0000","60.50","57.00","TN","M","","N","VG","EX","N","","14.50","34.00","43.50","41.20","GIA 5172576159","","5172576159","http://dtol-cert-images.s3-website-us-east-1.amazonaws.com/GIA_jpg/5172576159.jpg","10068","","","","","","","2500.0000","-42.80"
"BR","0.54","G","SI1","5.26 x 5.25 x 3.22","EX","GIA","2015.0000","61.30","58.00","TN","STK","","N","VG","VG","N","","14.50","35.00","43.50","41.20","GIA 1176576158","","1176576158","http://dtol-cert-images.s3-website-us-east-1.amazonaws.com/GIA_jpg/1176576158.jpg","10066","","","","","","","3100.0000","-35.00"
"BR","0.57","G","SI2","5.34 x 5.33 x 3.31","EX","GIA","1700.0000","62.00","55.00","M","STK","","VS","EX","EX","N","","15.50","34.50","43.00","40.80","GIA 5171547514","","5171547514","http://dtol-cert-images.s3-website-us-east-1.amazonaws.com/GIA_jpg/5171547514.jpg","10058","","","","","","","2600.0000","-34.62"
"BR","0.57","H","I1","5.30 x 5.29 x 3.34","EX","GIA","1200.0000","62.90","56.00","M","STK","","N","VG","VG","N","","15.50","35.00","44.00","41.40","GIA 5171548369","","5171548369","http://dtol-cert-images.s3-website-us-east-1.amazonaws.com/GIA_jpg/5171548369.jpg","10057","","","","","","","1800.0000","-33.33"
"BR","0.57","I","SI1","5.36 x 5.38 x 3.32","VG","Other","1375.0000","61.80","59.00","","","","","VG","VG","","","","","","","","","","","10073","","","","","","","2500.0000","-45.00"
"BR","0.59","G","SI1","5.53 x 5.52 x 3.29","VG","GIA","1430.0000","59.50","58.00","VTN","TN","","N","VG","EX","N","","14.00","33.50","43.50","41.20","GIA 1176576160","","1176576160","http://dtol-cert-images.s3-website-us-east-1.amazonaws.com/GIA_jpg/1176576160.jpg","10067","","","","","","","3100.0000","-53.87"
"BR","0.70","J","SI1","5.74 x 5.80 x 3.45","G","Other","1485.0000","59.90","59.00","STK","TK","","N","G","G","N","","14.50","35.00","43.00","40.80","","","Uncertified","","10053","","","","","","","2700.0000","-45.00"
"BR","0.75","I","SI1","5.68 x 5.86 x 3.64","G","Other","1920.0000","63.10","66.00","","","","","G","G","","","11.50","33.50","46.50","43.20","","","","","10052","","","","","","","3400.0000","-43.53"
"BR","0.82","E","VS1","6.07 x 6.01 x 3.62","VG","GIA","3480.0000","59.80","64.00","VTN","M","","S","VG","VG","N","","12.50","35.00","43.00","41.20","GIA 2175479953","","2175479953","http://dtol-cert-images.s3-website-us-east-1.amazonaws.com/GIA_jpg/2175479953.jpg","10060","","","","","","","5800.0000","-40.00"
"BR","0.82","E","VS1","6.07 x 6.01 x 3.62","VG","GIA","3770.0000","59.80","64.00","VTN","M","","S","VG","VG","N","","12.50","35.00","43.00","41.20","","","2175479953","http://dtol-cert-images.s3-website-us-east-1.amazonaws.com/GIA_jpg/2175479953.jpg","10035","","","","","","","5800.0000","-35.00"
